Source Name	Characteristics [Individual]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Characteristics [Sex]	Term Source REF	Term Accession Number	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [exercise]	Factor Value [organism part]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
S3LPre_188454SUB2533	S3	  	  	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	left vastus lateralis	male	EFO	EFO_0001266	S3LPre_188454SUB2533	P-MEXP-25949	total RNA	none	E_S3L_188454SUB2533	total_RNA	P-MEXP-25950	RNA polymerases	biotin	L_S3L_188454SUB2533	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_S3L_188454SUB2533	A-AFFY-1	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-1	P-AFFY-6	pre-exercise	left vastus lateralis	H_S3L_188454SUB2533	H_Muscle_Hu_Hyper_3L_Pre.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-740-processed-data-1343525590.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.processed.1.zip
S7RPre_188463SUB2533	S7	  	  	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	right vastus lateralis	male	EFO	EFO_0001266	S7RPre_188463SUB2533	P-MEXP-25949	total RNA	none	E_S7R_188463SUB2533	total_RNA	P-MEXP-25950	RNA polymerases	biotin	L_S7R_188463SUB2533	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_S7R_188463SUB2533	A-AFFY-1	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-1	P-AFFY-6	pre-exercise	right vastus lateralis	H_S7R_188463SUB2533	H_Muscle_Hu_Hyper_7R_Pre.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-740-processed-data-1343525590.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.processed.1.zip
S4LRes_188503SUB2533	S4	  	  	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	left vastus lateralis	male	EFO	EFO_0001266	S4LRes_188503SUB2533	P-MEXP-25949	total RNA	none	E_S4LRes_188503SUB2533	total_RNA	P-MEXP-25950	RNA polymerases	biotin	L_S4LRes_188503SUB2533	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_S4LRes_188503SUB2533	A-AFFY-1	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-1	P-AFFY-6	resistance exercise	left vastus lateralis	H_S4LRes_188503SUB2533	H_Muscle_Hu_Hyper_S4_Pst_L.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-740-processed-data-1343525590.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.processed.1.zip
S2RPre_188453SUB2533	S2	EFO	EFO_0001233	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	right vastus lateralis	male	EFO	EFO_0001266	S2RPre_188453SUB2533	P-MEXP-25949	total RNA	none	E_S2R_188453SUB2533	total_RNA	P-MEXP-25950	RNA polymerases	biotin	L_S2R_188453SUB2533	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_S2R_188453SUB2533	A-AFFY-1	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-1	P-AFFY-6	pre-exercise	right vastus lateralis	H_S2R_188453SUB2533	H_Muscle_Hu_Hyper_2R_Pre.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-740-processed-data-1343525590.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.processed.1.zip
S4LPre_188456SUB2533	S4	  	  	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	left vastus lateralis	male	EFO	EFO_0001266	S4LPre_188456SUB2533	P-MEXP-25949	total RNA	none	E_S4L_188456SUB2533	total_RNA	P-MEXP-25950	RNA polymerases	biotin	L_S4L_188456SUB2533	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_S4L_188456SUB2533	A-AFFY-1	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-1	P-AFFY-6	pre-exercise	left vastus lateralis	H_S4L_188456SUB2533	H_Muscle_Hu_Hyper_4L_Pre.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-740-processed-data-1343525590.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.processed.1.zip
S7LPre_188462SUB2533	S7	  	  	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	left vastus lateralis	male	EFO	EFO_0001266	S7LPre_188462SUB2533	P-MEXP-25949	total RNA	none	E_S7L_188462SUB2533	total_RNA	P-MEXP-25950	RNA polymerases	biotin	L_S7L_188462SUB2533	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_S7L_188462SUB2533	A-AFFY-1	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-1	P-AFFY-6	pre-exercise	left vastus lateralis	H_S7L_188462SUB2533	H_Muscle_Hu_Hyper_7L_Pre.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-740-processed-data-1343525590.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.processed.1.zip
S3RPre_188455SUB2533	S3	  	  	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	right vastus lateralis	male	EFO	EFO_0001266	S3RPre_188455SUB2533	P-MEXP-25949	total RNA	none	E_S3R_188455SUB2533	total_RNA	P-MEXP-25950	RNA polymerases	biotin	L_S3R_188455SUB2533	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_S3R_188455SUB2533	A-AFFY-1	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-1	P-AFFY-6	pre-exercise	right vastus lateralis	H_S3R_188455SUB2533	H_Muscle_Hu_Hyper_3R_Pre.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-740-processed-data-1343525590.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.processed.1.zip
S3RRes_188502SUB2533	S3	  	  	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	right vastus lateralis	male	EFO	EFO_0001266	S3RRes_188502SUB2533	P-MEXP-25949	total RNA	none	E_S3RRes_188502SUB2533	total_RNA	P-MEXP-25950	RNA polymerases	biotin	L_S3RRes_188502SUB2533	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_S3RRes_188502SUB2533	A-AFFY-1	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-1	P-AFFY-6	resistance exercise	right vastus lateralis	H_S3RRes_188502SUB2533	H_Muscle_Hu_Hyper_S3_Pst_R.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-740-processed-data-1343525590.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.processed.1.zip
S8RPre_188465SUB2533	S8	  	  	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	right vastus lateralis	male	EFO	EFO_0001266	S8RPre_188465SUB2533	P-MEXP-25949	total RNA	none	E_S8R_188465SUB2533	total_RNA	P-MEXP-25950	RNA polymerases	biotin	L_S8R_188465SUB2533	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_S8R_188465SUB2533	A-AFFY-1	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-1	P-AFFY-6	pre-exercise	right vastus lateralis	H_S8R_188465SUB2533	H_Muscle_Hu_Hyper_8R_Pre.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-740-processed-data-1343525590.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.processed.1.zip
S5LAcu_188505SUB2533	S5	  	  	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	left vastus lateralis	male	EFO	EFO_0001266	S5LAcu_188505SUB2533	P-MEXP-25949	total RNA	none	E_S5LAcu_188505SUB2533	total_RNA	P-MEXP-25950	RNA polymerases	biotin	L_S5LAcu_188505SUB2533	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_S5LAcu_188505SUB2533	A-AFFY-1	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-1	P-AFFY-6	acute exercise	left vastus lateralis	H_S5LAcu_188505SUB2533	H_Muscle_Hu_Hyper_S5_Pst_L.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-740-processed-data-1343525590.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-740/E-MEXP-740.processed.1.zip
